Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/neos-2652786-brda.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/neos-2652786-brda.txt -quit (default strategy 1)
At line 1 NAME          neos-2652786-brda
At line 2 ROWS
At line 346 COLUMNS
At line 2071 RHS
At line 2144 BOUNDS
At line 2658 ENDATA
Problem neos-2652786-brda has 342 rows, 524 columns and 1690 elements
Coin0008I neos-2652786-brda read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 0 - 0.028325 seconds
Cgl0004I processed model has 256 rows, 436 columns (436 integer (199 of which binary)) and 1474 elements
Coin3009W Conflict graph built in 0.001 seconds, density: 0.107%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 90 integers unsatisfied sum - 13.4999
Cbc0038I Pass   1: suminf.   11.78677 (51) obj. 34.5156 iterations 69
Cbc0038I Pass   2: suminf.    9.27315 (36) obj. 29.7689 iterations 73
Cbc0038I Solution found of 29.7689
Cbc0038I Branch and bound needed to clear up 36 general integers
Cbc0038I Mini branch and bound could not fix general integers
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 318 integers at bound fixed and 0 continuous
Cbc0038I Full problem 256 rows 436 columns, reduced to 55 rows 51 columns
Cbc0038I Mini branch and bound improved solution from 1e+50 to 18.7873 (1.24 seconds)
Cbc0038I Round again with cutoff of 16.9085
Cbc0038I Pass   3: suminf.   11.40381 (48) obj. 16.9085 iterations 17
Cbc0038I Pass   4: suminf.    8.41999 (40) obj. 16.9085 iterations 41
Cbc0038I Solution found of 16.9085
Cbc0038I Branch and bound needed to clear up 40 general integers
Cbc0038I Full problem 257 rows 436 columns, reduced to 79 rows 87 columns
Cbc0038I Mini branch and bound could not fix general integers
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 322 integers at bound fixed and 0 continuous
Cbc0038I Full problem 256 rows 436 columns, reduced to 54 rows 53 columns
Cbc0038I Mini branch and bound did not improve solution (2.04 seconds)
Cbc0038I After 2.04 seconds - Feasibility pump exiting with objective of 18.7873 - took 4.96 seconds
Cbc0012I Integer solution of 18.787275 found by feasibility pump after 0 iterations and 0 nodes (2.04 seconds)
Cbc0038I Full problem 256 rows 436 columns, reduced to 45 rows 36 columns
Cbc0031I 17 added rows had average density of 42.117647
Cbc0013I At root node, 17 cuts changed objective from 0 to 0 in 17 passes
Cbc0014I Cut generator 0 (Probing) - 9 row cuts average 17.6 elements, 0 column cuts (0 active)  in 0.182 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 72 row cuts average 145.3 elements, 0 column cuts (0 active)  in 0.130 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.034 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.049 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.015 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 31 row cuts average 20.8 elements, 0 column cuts (0 active)  in 0.021 seconds - new frequency is -100
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.025 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 146 row cuts average 127.6 elements, 0 column cuts (0 active)  in 0.183 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, 18.787275 best solution, best possible 0 (4.81 seconds)
Cbc0010I After 288970 nodes, 19732 on tree, 18.787275 best solution, best possible 0 (762.21 seconds)
Cbc0010I After 289254 nodes, 19829 on tree, 18.787275 best solution, best possible 0 (762.91 seconds)
Cbc0010I After 289591 nodes, 19954 on tree, 18.787275 best solution, best possible 0 (763.62 seconds)
Cbc0010I After 289902 nodes, 20069 on tree, 18.787275 best solution, best possible 0 (764.32 seconds)
Cbc0010I After 290315 nodes, 20139 on tree, 18.787275 best solution, best possible 0 (765.02 seconds)
Cbc0010I After 290965 nodes, 20220 on tree, 18.787275 best solution, best possible 0 (765.72 seconds)
Cbc0010I After 291397 nodes, 20215 on tree, 18.787275 best solution, best possible 0 (766.42 seconds)
Cbc0010I After 291758 nodes, 20216 on tree, 18.787275 best solution, best possible 0 (767.13 seconds)
Cbc0010I After 292148 nodes, 20228 on tree, 18.787275 best solution, best possible 0 (767.85 seconds)
Cbc0010I After 292429 nodes, 20236 on tree, 18.787275 best solution, best possible 0 (768.55 seconds)
Cbc0010I After 292628 nodes, 20244 on tree, 18.787275 best solution, best possible 0 (769.26 seconds)
Cbc0010I After 292926 nodes, 20228 on tree, 18.787275 best solution, best possible 0 (769.97 seconds)
Cbc0010I After 293156 nodes, 20244 on tree, 18.787275 best solution, best possible 0 (770.67 seconds)
Cbc0010I After 293341 nodes, 20315 on tree, 18.787275 best solution, best possible 0 (771.37 seconds)
Cbc0010I After 293456 nodes, 20356 on tree, 18.787275 best solution, best possible 0 (772.08 seconds)
Cbc0010I After 293645 nodes, 20411 on tree, 18.787275 best solution, best possible 0 (772.79 seconds)
Cbc0010I After 293799 nodes, 20441 on tree, 18.787275 best solution, best possible 0 (773.50 seconds)
Cbc0010I After 293949 nodes, 20502 on tree, 18.787275 best solution, best possible 0 (774.20 seconds)
Cbc0010I After 294363 nodes, 20518 on tree, 18.787275 best solution, best possible 0 (774.91 seconds)
Cbc0010I After 294891 nodes, 20496 on tree, 18.787275 best solution, best possible 0 (775.61 seconds)
Cbc0010I After 295372 nodes, 20477 on tree, 18.787275 best solution, best possible 0 (776.31 seconds)
Cbc0010I After 295725 nodes, 20486 on tree, 18.787275 best solution, best possible 0 (777.02 seconds)
Cbc0010I After 295953 nodes, 20560 on tree, 18.787275 best solution, best possible 0 (777.73 seconds)
Cbc0010I After 296226 nodes, 20577 on tree, 18.787275 best solution, best possible 0 (778.43 seconds)
Cbc0010I After 296476 nodes, 20571 on tree, 18.787275 best solution, best possible 0 (779.13 seconds)
Cbc0010I After 296682 nodes, 20551 on tree, 18.787275 best solution, best possible 0 (779.84 seconds)
Cbc0010I After 296998 nodes, 20530 on tree, 18.787275 best solution, best possible 0 (780.55 seconds)
Cbc0010I After 297150 nodes, 20577 on tree, 18.787275 best solution, best possible 0 (781.26 seconds)
Cbc0010I After 297333 nodes, 20626 on tree, 18.787275 best solution, best possible 0 (781.96 seconds)
Cbc0010I After 297467 nodes, 20641 on tree, 18.787275 best solution, best possible 0 (782.67 seconds)
Cbc0010I After 297613 nodes, 20674 on tree, 18.787275 best solution, best possible 0 (783.37 seconds)
Cbc0010I After 297807 nodes, 20769 on tree, 18.787275 best solution, best possible 0 (784.08 seconds)
Cbc0010I After 298034 nodes, 20802 on tree, 18.787275 best solution, best possible 0 (784.78 seconds)
Cbc0010I After 298368 nodes, 20825 on tree, 18.787275 best solution, best possible 0 (785.48 seconds)
Cbc0010I After 298797 nodes, 20833 on tree, 18.787275 best solution, best possible 0 (786.19 seconds)
Cbc0010I After 299275 nodes, 20861 on tree, 18.787275 best solution, best possible 0 (786.89 seconds)
Cbc0010I After 299797 nodes, 20884 on tree, 18.787275 best solution, best possible 0 (787.59 seconds)
Cbc0010I After 300264 nodes, 20889 on tree, 18.787275 best solution, best possible 0 (788.29 seconds)
Cbc0010I After 300684 nodes, 20849 on tree, 18.787275 best solution, best possible 0 (789.00 seconds)
Cbc0010I After 300927 nodes, 20825 on tree, 18.787275 best solution, best possible 0 (789.70 seconds)
Cbc0010I After 301083 nodes, 20843 on tree, 18.787275 best solution, best possible 0 (790.41 seconds)
Cbc0010I After 301241 nodes, 20855 on tree, 18.787275 best solution, best possible 0 (791.11 seconds)
Cbc0010I After 301406 nodes, 20920 on tree, 18.787275 best solution, best possible 0 (791.82 seconds)
Cbc0010I After 301603 nodes, 20979 on tree, 18.787275 best solution, best possible 0 (792.52 seconds)
Cbc0010I After 301765 nodes, 21015 on tree, 18.787275 best solution, best possible 0 (793.23 seconds)
Cbc0010I After 301955 nodes, 21013 on tree, 18.787275 best solution, best possible 0 (793.93 seconds)
Cbc0010I After 302219 nodes, 21053 on tree, 18.787275 best solution, best possible 0 (794.64 seconds)
Cbc0010I After 302655 nodes, 21047 on tree, 18.787275 best solution, best possible 0 (795.34 seconds)
Cbc0010I After 303025 nodes, 21045 on tree, 18.787275 best solution, best possible 0 (796.05 seconds)
Cbc0010I After 303259 nodes, 21034 on tree, 18.787275 best solution, best possible 0 (796.75 seconds)
Cbc0010I After 303528 nodes, 21063 on tree, 18.787275 best solution, best possible 0 (797.45 seconds)
Cbc0010I After 303711 nodes, 21093 on tree, 18.787275 best solution, best possible 0 (798.16 seconds)
Cbc0010I After 303953 nodes, 21129 on tree, 18.787275 best solution, best possible 0 (798.86 seconds)
Cbc0010I After 304410 nodes, 21076 on tree, 18.787275 best solution, best possible 0 (799.56 seconds)
Cbc0010I After 304715 nodes, 21088 on tree, 18.787275 best solution, best possible 0 (800.27 seconds)
Cbc0010I After 305009 nodes, 21030 on tree, 18.787275 best solution, best possible 0 (800.97 seconds)
Cbc0010I After 305264 nodes, 21038 on tree, 18.787275 best solution, best possible 0 (801.67 seconds)
Cbc0010I After 305508 nodes, 21001 on tree, 18.787275 best solution, best possible 0 (802.37 seconds)
Cbc0010I After 305800 nodes, 21087 on tree, 18.787275 best solution, best possible 0 (803.08 seconds)
Cbc0010I After 306012 nodes, 21163 on tree, 18.787275 best solution, best possible 0 (803.78 seconds)
Cbc0010I After 306187 nodes, 21179 on tree, 18.787275 best solution, best possible 0 (804.50 seconds)
Cbc0010I After 306472 nodes, 21263 on tree, 18.787275 best solution, best possible 0 (805.20 seconds)
Cbc0010I After 306759 nodes, 21329 on tree, 18.787275 best solution, best possible 0 (805.90 seconds)
Cbc0010I After 307045 nodes, 21382 on tree, 18.787275 best solution, best possible 0 (806.61 seconds)
Cbc0010I After 307449 nodes, 21436 on tree, 18.787275 best solution, best possible 0 (807.32 seconds)
Cbc0010I After 307711 nodes, 21492 on tree, 18.787275 best solution, best possible 0 (808.02 seconds)
Cbc0010I After 308045 nodes, 21557 on tree, 18.787275 best solution, best possible 0 (808.73 seconds)
Cbc0010I After 308492 nodes, 21546 on tree, 18.787275 best solution, best possible 0 (809.43 seconds)
Cbc0010I After 308843 nodes, 21567 on tree, 18.787275 best solution, best possible 0 (810.13 seconds)
Cbc0010I After 309087 nodes, 21618 on tree, 18.787275 best solution, best possible 0 (810.83 seconds)
Cbc0010I After 309247 nodes, 21662 on tree, 18.787275 best solution, best possible 0 (811.54 seconds)
Cbc0010I After 309420 nodes, 21701 on tree, 18.787275 best solution, best possible 0 (812.25 seconds)
Cbc0010I After 309590 nodes, 21722 on tree, 18.787275 best solution, best possible 0 (812.96 seconds)
Cbc0010I After 309808 nodes, 21753 on tree, 18.787275 best solution, best possible 0 (813.66 seconds)
Cbc0010I After 310038 nodes, 21766 on tree, 18.787275 best solution, best possible 0 (814.37 seconds)
Cbc0010I After 310398 nodes, 21836 on tree, 18.787275 best solution, best possible 0 (815.07 seconds)
Cbc0010I After 310663 nodes, 21895 on tree, 18.787275 best solution, best possible 0 (815.78 seconds)
Cbc0010I After 310914 nodes, 21904 on tree, 18.787275 best solution, best possible 0 (816.48 seconds)
Cbc0010I After 311190 nodes, 21936 on tree, 18.787275 best solution, best possible 0 (817.18 seconds)
Cbc0010I After 311474 nodes, 21948 on tree, 18.787275 best solution, best possible 0 (817.88 seconds)
Cbc0010I After 311774 nodes, 22015 on tree, 18.787275 best solution, best possible 0 (818.59 seconds)
Cbc0010I After 312111 nodes, 22054 on tree, 18.787275 best solution, best possible 0 (819.29 seconds)
Cbc0010I After 312527 nodes, 22052 on tree, 18.787275 best solution, best possible 0 (820.01 seconds)
Cbc0010I After 312899 nodes, 22028 on tree, 18.787275 best solution, best possible 0 (820.71 seconds)
Cbc0010I After 313175 nodes, 22064 on tree, 18.787275 best solution, best possible 0 (821.41 seconds)
Cbc0010I After 313377 nodes, 22094 on tree, 18.787275 best solution, best possible 0 (822.12 seconds)
Cbc0010I After 313488 nodes, 22155 on tree, 18.787275 best solution, best possible 0 (822.85 seconds)
Cbc0010I After 313621 nodes, 22230 on tree, 18.787275 best solution, best possible 0 (823.56 seconds)
Cbc0010I After 313793 nodes, 22291 on tree, 18.787275 best solution, best possible 0 (824.28 seconds)
Cbc0010I After 313971 nodes, 22361 on tree, 18.787275 best solution, best possible 0 (824.99 seconds)
Cbc0010I After 314247 nodes, 22365 on tree, 18.787275 best solution, best possible 0 (825.72 seconds)
Cbc0010I After 314474 nodes, 22443 on tree, 18.787275 best solution, best possible 0 (826.43 seconds)
Cbc0010I After 314712 nodes, 22505 on tree, 18.787275 best solution, best possible 0 (827.14 seconds)
Cbc0010I After 314952 nodes, 22534 on tree, 18.787275 best solution, best possible 0 (827.85 seconds)
Cbc0010I After 315184 nodes, 22598 on tree, 18.787275 best solution, best possible 0 (828.55 seconds)
Cbc0010I After 315477 nodes, 22662 on tree, 18.787275 best solution, best possible 0 (829.25 seconds)
Cbc0010I After 315829 nodes, 22718 on tree, 18.787275 best solution, best possible 0 (829.96 seconds)
Cbc0010I After 316284 nodes, 22726 on tree, 18.787275 best solution, best possible 0 (830.66 seconds)
Cbc0010I After 316791 nodes, 22723 on tree, 18.787275 best solution, best possible 0 (831.36 seconds)
Cbc0010I After 317141 nodes, 22788 on tree, 18.787275 best solution, best possible 0 (832.07 seconds)
Cbc0010I After 317418 nodes, 22830 on tree, 18.787275 best solution, best possible 0 (832.77 seconds)
Cbc0010I After 317697 nodes, 22849 on tree, 18.787275 best solution, best possible 0 (833.47 seconds)
Cbc0010I After 317960 nodes, 22904 on tree, 18.787275 best solution, best possible 0 (834.18 seconds)
Cbc0010I After 318338 nodes, 22905 on tree, 18.787275 best solution, best possible 0 (834.88 seconds)
Cbc0010I After 318698 nodes, 22968 on tree, 18.787275 best solution, best possible 0 (835.58 seconds)
Cbc0010I After 319064 nodes, 23003 on tree, 18.787275 best solution, best possible 0 (836.29 seconds)
Cbc0010I After 319415 nodes, 23043 on tree, 18.787275 best solution, best possible 0 (836.99 seconds)
Cbc0010I After 319969 nodes, 23117 on tree, 18.787275 best solution, best possible 0 (837.69 seconds)
Cbc0010I After 320610 nodes, 23090 on tree, 18.787275 best solution, best possible 0 (838.39 seconds)
Cbc0010I After 320984 nodes, 23045 on tree, 18.787275 best solution, best possible 0 (839.10 seconds)
Cbc0010I After 321110 nodes, 23023 on tree, 18.787275 best solution, best possible 0 (839.81 seconds)
Cbc0010I After 321228 nodes, 23026 on tree, 18.787275 best solution, best possible 0 (840.52 seconds)
Cbc0010I After 321411 nodes, 23066 on tree, 18.787275 best solution, best possible 0 (841.24 seconds)
Cbc0010I After 321502 nodes, 23060 on tree, 18.787275 best solution, best possible 0 (841.95 seconds)
Cbc0010I After 321670 nodes, 23099 on tree, 18.787275 best solution, best possible 0 (842.65 seconds)
Cbc0010I After 321902 nodes, 23116 on tree, 18.787275 best solution, best possible 0 (843.36 seconds)
Cbc0010I After 322059 nodes, 23173 on tree, 18.787275 best solution, best possible 0 (844.06 seconds)
Cbc0010I After 322420 nodes, 23160 on tree, 18.787275 best solution, best possible 0 (844.76 seconds)
Cbc0010I After 322869 nodes, 23226 on tree, 18.787275 best solution, best possible 0 (845.47 seconds)
Cbc0010I After 323191 nodes, 23237 on tree, 18.787275 best solution, best possible 0 (846.18 seconds)
Cbc0010I After 323460 nodes, 23224 on tree, 18.787275 best solution, best possible 0 (846.88 seconds)
Cbc0010I After 323933 nodes, 23207 on tree, 18.787275 best solution, best possible 0 (847.59 seconds)
Cbc0010I After 324457 nodes, 23160 on tree, 18.787275 best solution, best possible 0 (848.29 seconds)
Cbc0010I After 324999 nodes, 23112 on tree, 18.787275 best solution, best possible 0 (848.99 seconds)
Cbc0010I After 325199 nodes, 23193 on tree, 18.787275 best solution, best possible 0 (849.69 seconds)
Cbc0010I After 325398 nodes, 23259 on tree, 18.787275 best solution, best possible 0 (850.40 seconds)
Cbc0010I After 325644 nodes, 23341 on tree, 18.787275 best solution, best possible 0 (851.11 seconds)
Cbc0010I After 325952 nodes, 23426 on tree, 18.787275 best solution, best possible 0 (851.81 seconds)
Cbc0010I After 326515 nodes, 23508 on tree, 18.787275 best solution, best possible 0 (852.51 seconds)
Cbc0010I After 327064 nodes, 23555 on tree, 18.787275 best solution, best possible 0 (853.21 seconds)
Cbc0010I After 327673 nodes, 23578 on tree, 18.787275 best solution, best possible 0 (853.92 seconds)
Cbc0010I After 328233 nodes, 23624 on tree, 18.787275 best solution, best possible 0 (854.62 seconds)
Cbc0010I After 328588 nodes, 23645 on tree, 18.787275 best solution, best possible 0 (855.32 seconds)
Cbc0010I After 329014 nodes, 23604 on tree, 18.787275 best solution, best possible 0 (856.02 seconds)
Cbc0010I After 329247 nodes, 23704 on tree, 18.787275 best solution, best possible 0 (856.73 seconds)
Cbc0010I After 329663 nodes, 23818 on tree, 18.787275 best solution, best possible 0 (857.43 seconds)
Cbc0010I After 329942 nodes, 23827 on tree, 18.787275 best solution, best possible 0 (858.13 seconds)
Cbc0010I After 330446 nodes, 23887 on tree, 18.787275 best solution, best possible 0 (858.83 seconds)
Cbc0010I After 331120 nodes, 23941 on tree, 18.787275 best solution, best possible 0 (859.54 seconds)
Cbc0010I After 331847 nodes, 23982 on tree, 18.787275 best solution, best possible 0 (860.24 seconds)
Cbc0010I After 332553 nodes, 23986 on tree, 18.787275 best solution, best possible 0 (860.94 seconds)
Cbc0010I After 333070 nodes, 23988 on tree, 18.787275 best solution, best possible 0 (861.64 seconds)
Cbc0010I After 333381 nodes, 23965 on tree, 18.787275 best solution, best possible 0 (862.35 seconds)
Cbc0010I After 333659 nodes, 23942 on tree, 18.787275 best solution, best possible 0 (863.05 seconds)
Cbc0010I After 333881 nodes, 24028 on tree, 18.787275 best solution, best possible 0 (863.75 seconds)
Cbc0010I After 334135 nodes, 24093 on tree, 18.787275 best solution, best possible 0 (864.45 seconds)
Cbc0010I After 334658 nodes, 24118 on tree, 18.787275 best solution, best possible 0 (865.16 seconds)
Cbc0010I After 335207 nodes, 24141 on tree, 18.787275 best solution, best possible 0 (865.86 seconds)
Cbc0010I After 335703 nodes, 24152 on tree, 18.787275 best solution, best possible 0 (866.56 seconds)
Cbc0010I After 336263 nodes, 24149 on tree, 18.787275 best solution, best possible 0 (867.26 seconds)
Cbc0010I After 336797 nodes, 24106 on tree, 18.787275 best solution, best possible 0 (867.96 seconds)
Cbc0010I After 337143 nodes, 24153 on tree, 18.787275 best solution, best possible 0 (868.67 seconds)
Cbc0010I After 337341 nodes, 24226 on tree, 18.787275 best solution, best possible 0 (869.37 seconds)
Cbc0010I After 337500 nodes, 24293 on tree, 18.787275 best solution, best possible 0 (870.08 seconds)
Cbc0010I After 337631 nodes, 24287 on tree, 18.787275 best solution, best possible 0 (870.79 seconds)
Cbc0010I After 337803 nodes, 24253 on tree, 18.787275 best solution, best possible 0 (871.49 seconds)
Cbc0010I After 337960 nodes, 24246 on tree, 18.787275 best solution, best possible 0 (872.20 seconds)
Cbc0010I After 338232 nodes, 24267 on tree, 18.787275 best solution, best possible 0 (872.90 seconds)
Cbc0010I After 338576 nodes, 24316 on tree, 18.787275 best solution, best possible 0 (873.61 seconds)
Cbc0010I After 339055 nodes, 24325 on tree, 18.787275 best solution, best possible 0 (874.31 seconds)
Cbc0010I After 339526 nodes, 24357 on tree, 18.787275 best solution, best possible 0 (875.01 seconds)
Cbc0010I After 339862 nodes, 24419 on tree, 18.787275 best solution, best possible 0 (875.72 seconds)
Cbc0010I After 340329 nodes, 24423 on tree, 18.787275 best solution, best possible 0 (876.42 seconds)
Cbc0010I After 340711 nodes, 24423 on tree, 18.787275 best solution, best possible 0 (877.12 seconds)
Cbc0010I After 341035 nodes, 24450 on tree, 18.787275 best solution, best possible 0 (877.83 seconds)
Cbc0010I After 341223 nodes, 24451 on tree, 18.787275 best solution, best possible 0 (878.53 seconds)
Cbc0010I After 341366 nodes, 24456 on tree, 18.787275 best solution, best possible 0 (879.24 seconds)
Cbc0010I After 341478 nodes, 24497 on tree, 18.787275 best solution, best possible 0 (879.94 seconds)
Cbc0010I After 341627 nodes, 24555 on tree, 18.787275 best solution, best possible 0 (880.65 seconds)
Cbc0010I After 341777 nodes, 24604 on tree, 18.787275 best solution, best possible 0 (881.35 seconds)
Cbc0010I After 341913 nodes, 24640 on tree, 18.787275 best solution, best possible 0 (882.06 seconds)
Cbc0010I After 342014 nodes, 24663 on tree, 18.787275 best solution, best possible 0 (882.76 seconds)
Cbc0010I After 342384 nodes, 24664 on tree, 18.787275 best solution, best possible 0 (883.47 seconds)
Cbc0010I After 342689 nodes, 24682 on tree, 18.787275 best solution, best possible 0 (884.18 seconds)
Cbc0010I After 342948 nodes, 24684 on tree, 18.787275 best solution, best possible 0 (884.88 seconds)
Cbc0010I After 343236 nodes, 24704 on tree, 18.787275 best solution, best possible 0 (885.59 seconds)
Cbc0010I After 343526 nodes, 24713 on tree, 18.787275 best solution, best possible 0 (886.29 seconds)
Cbc0010I After 343853 nodes, 24719 on tree, 18.787275 best solution, best possible 0 (887.00 seconds)
Cbc0010I After 344208 nodes, 24725 on tree, 18.787275 best solution, best possible 0 (887.70 seconds)
Cbc0010I After 344680 nodes, 24716 on tree, 18.787275 best solution, best possible 0 (888.41 seconds)
Cbc0010I After 345042 nodes, 24718 on tree, 18.787275 best solution, best possible 0 (889.11 seconds)
Cbc0010I After 345221 nodes, 24787 on tree, 18.787275 best solution, best possible 0 (889.82 seconds)
Cbc0010I After 345382 nodes, 24838 on tree, 18.787275 best solution, best possible 0 (890.52 seconds)
Cbc0010I After 345575 nodes, 24890 on tree, 18.787275 best solution, best possible 0 (891.23 seconds)
Cbc0010I After 345783 nodes, 24952 on tree, 18.787275 best solution, best possible 0 (891.93 seconds)
Cbc0010I After 345980 nodes, 24991 on tree, 18.787275 best solution, best possible 0 (892.63 seconds)
Cbc0010I After 346315 nodes, 25027 on tree, 18.787275 best solution, best possible 0 (893.34 seconds)
Cbc0010I After 346614 nodes, 25037 on tree, 18.787275 best solution, best possible 0 (894.05 seconds)
Cbc0010I After 346885 nodes, 25051 on tree, 18.787275 best solution, best possible 0 (894.75 seconds)
Cbc0010I After 347165 nodes, 25076 on tree, 18.787275 best solution, best possible 0 (895.45 seconds)
Cbc0010I After 347486 nodes, 25079 on tree, 18.787275 best solution, best possible 0 (896.16 seconds)
Cbc0010I After 347803 nodes, 25109 on tree, 18.787275 best solution, best possible 0 (896.87 seconds)
Cbc0010I After 348053 nodes, 25125 on tree, 18.787275 best solution, best possible 0 (897.57 seconds)
Cbc0010I After 348315 nodes, 25116 on tree, 18.787275 best solution, best possible 0 (898.29 seconds)
Cbc0010I After 348627 nodes, 25086 on tree, 18.787275 best solution, best possible 0 (898.99 seconds)
Cbc0010I After 349005 nodes, 25069 on tree, 18.787275 best solution, best possible 0 (899.70 seconds)
Cbc0010I After 349146 nodes, 25112 on tree, 18.787275 best solution, best possible 0 (900.41 seconds)
Cbc0010I After 349276 nodes, 25088 on tree, 18.787275 best solution, best possible 0 (901.11 seconds)
Cbc0010I After 349421 nodes, 25079 on tree, 18.787275 best solution, best possible 0 (901.82 seconds)
Cbc0010I After 349506 nodes, 25098 on tree, 18.787275 best solution, best possible 0 (902.53 seconds)
Cbc0010I After 349659 nodes, 25114 on tree, 18.787275 best solution, best possible 0 (903.23 seconds)
