Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/liu.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/liu.txt -quit (default strategy 1)
At line 1 NAME           liu
At line 2 ROWS
At line 2182 COLUMNS
At line 7600 RHS
At line 8690 BOUNDS
At line 9780 ENDATA
Problem liu has 2178 rows, 1156 columns and 10626 elements
Coin0008I liu read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 346 - 0.13959 seconds
Cgl0004I processed model has 2178 rows, 1154 columns (1087 integer (1087 of which binary)) and 10626 elements
Coin3009W Conflict graph built in 0.001 seconds, density: 0.041%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 371 integers unsatisfied sum - 6.88631
Cbc0038I Pass   1: suminf.    0.00000 (0) obj. 4720 iterations 421
Cbc0038I Solution found of 4720
Cbc0038I Relaxing continuous gives 4720
Cbc0038I Before mini branch and bound, 716 integers at bound fixed and 34 continuous
Cbc0038I Full problem 2178 rows 1154 columns, reduced to 666 rows 203 columns
Cbc0038I Mini branch and bound improved solution from 4720 to 4292 (1.86 seconds)
Cbc0038I Freeing continuous variables gives a solution of 4292
Cbc0038I Round again with cutoff of 3897.4
Cbc0038I Pass   2: suminf.    0.09795 (8) obj. 3897.4 iterations 9
Cbc0038I Pass   3: suminf.    0.02746 (3) obj. 3897.4 iterations 24
Cbc0038I Pass   4: suminf.    0.00412 (2) obj. 3897.4 iterations 9
Cbc0038I Pass   5: suminf.    0.01007 (2) obj. 3897.4 iterations 2
Cbc0038I Pass   6: suminf.    5.65254 (226) obj. 3897.4 iterations 642
Cbc0038I Pass   7: suminf.    4.72565 (202) obj. 3897.4 iterations 83
Cbc0038I Pass   8: suminf.    4.28459 (186) obj. 3897.4 iterations 90
Cbc0038I Pass   9: suminf.    3.24101 (155) obj. 3897.4 iterations 93
Cbc0038I Pass  10: suminf.    2.78709 (125) obj. 3897.4 iterations 121
Cbc0038I Pass  11: suminf.    2.09216 (78) obj. 3897.4 iterations 132
Cbc0038I Pass  12: suminf.    1.85163 (66) obj. 3897.4 iterations 65
Cbc0038I Pass  13: suminf.    1.74708 (65) obj. 3897.4 iterations 120
Cbc0038I Pass  14: suminf.    1.70683 (41) obj. 3897.4 iterations 95
Cbc0038I Pass  15: suminf.    1.78042 (57) obj. 3897.4 iterations 98
Cbc0038I Pass  16: suminf.    1.16933 (32) obj. 3897.4 iterations 98
Cbc0038I Pass  17: suminf.    1.65492 (58) obj. 3897.4 iterations 82
Cbc0038I Pass  18: suminf.    1.13813 (25) obj. 3897.4 iterations 95
Cbc0038I Pass  19: suminf.    1.39819 (44) obj. 3897.4 iterations 79
Cbc0038I Pass  20: suminf.    1.11979 (28) obj. 3897.4 iterations 79
Cbc0038I Pass  21: suminf.    0.97023 (32) obj. 3897.4 iterations 70
Cbc0038I Pass  22: suminf.    1.01095 (25) obj. 3897.4 iterations 62
Cbc0038I Pass  23: suminf.    1.03477 (27) obj. 3897.4 iterations 47
Cbc0038I Pass  24: suminf.    0.86068 (19) obj. 3897.4 iterations 53
Cbc0038I Pass  25: suminf.    0.68373 (21) obj. 3897.4 iterations 46
Cbc0038I Pass  26: suminf.    1.02953 (25) obj. 3897.4 iterations 60
Cbc0038I Pass  27: suminf.    0.72493 (17) obj. 3897.4 iterations 47
Cbc0038I Pass  28: suminf.    0.74137 (14) obj. 3897.4 iterations 36
Cbc0038I Pass  29: suminf.    0.62181 (11) obj. 3897.4 iterations 34
Cbc0038I Pass  30: suminf.    0.71469 (14) obj. 3897.4 iterations 29
Cbc0038I Pass  31: suminf.    0.61396 (15) obj. 3897.4 iterations 37
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 445 integers at bound fixed and 0 continuous
Cbc0038I Full problem 2178 rows 1154 columns, reduced to 2178 rows 709 columns - 6 fixed gives 2178, 703 - still too large
Cbc0038I Mini branch and bound did not improve solution (2.52 seconds)
Cbc0038I After 2.52 seconds - Feasibility pump exiting with objective of 4292 - took 1.31 seconds
Cbc0012I Integer solution of 4292 found by feasibility pump after 0 iterations and 0 nodes (2.53 seconds)
Cbc0038I Full problem 2178 rows 1154 columns, reduced to 2178 rows 438 columns - 5 fixed gives 2178, 433 - still too large
Cbc0031I 311 added rows had average density of 5.8938907
Cbc0013I At root node, 311 cuts changed objective from 346 to 560 in 10 passes
Cbc0014I Cut generator 0 (Probing) - 445 row cuts average 5.1 elements, 0 column cuts (231 active)  in 0.049 seconds - new frequency is 1
Cbc0014I Cut generator 1 (Gomory) - 437 row cuts average 8.0 elements, 0 column cuts (0 active)  in 0.384 seconds - new frequency is 1
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.021 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.043 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.000 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.000 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 793 row cuts average 3.5 elements, 0 column cuts (0 active)  in 0.124 seconds - new frequency is 1
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.055 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 626 row cuts average 5.2 elements, 0 column cuts (0 active)  in 0.433 seconds - new frequency is 1
Cbc0010I After 0 nodes, 1 on tree, 4292 best solution, best possible 560 (6.20 seconds)
Cbc0010I After 50698 nodes, 18677 on tree, 1590 best solution, best possible 560 (3504.53 seconds)
Cbc0010I After 50707 nodes, 18680 on tree, 1590 best solution, best possible 560 (3505.27 seconds)
Cbc0010I After 50721 nodes, 18688 on tree, 1590 best solution, best possible 560 (3505.99 seconds)
Cbc0010I After 50738 nodes, 18696 on tree, 1590 best solution, best possible 560 (3506.71 seconds)
Cbc0010I After 50752 nodes, 18703 on tree, 1590 best solution, best possible 560 (3507.45 seconds)
Cbc0010I After 50769 nodes, 18712 on tree, 1590 best solution, best possible 560 (3508.18 seconds)
Cbc0010I After 50788 nodes, 18722 on tree, 1590 best solution, best possible 560 (3508.89 seconds)
Cbc0010I After 50806 nodes, 18733 on tree, 1590 best solution, best possible 560 (3509.63 seconds)
Cbc0010I After 50831 nodes, 18734 on tree, 1590 best solution, best possible 560 (3510.36 seconds)
Cbc0010I After 50850 nodes, 18743 on tree, 1590 best solution, best possible 560 (3511.11 seconds)
Cbc0010I After 50865 nodes, 18748 on tree, 1590 best solution, best possible 560 (3511.85 seconds)
Cbc0010I After 50883 nodes, 18754 on tree, 1590 best solution, best possible 560 (3512.56 seconds)
Cbc0010I After 50896 nodes, 18762 on tree, 1590 best solution, best possible 560 (3513.30 seconds)
Cbc0010I After 50910 nodes, 18768 on tree, 1590 best solution, best possible 560 (3514.03 seconds)
Cbc0010I After 50926 nodes, 18777 on tree, 1590 best solution, best possible 560 (3514.75 seconds)
Cbc0010I After 50938 nodes, 18783 on tree, 1590 best solution, best possible 560 (3515.48 seconds)
Cbc0010I After 50952 nodes, 18790 on tree, 1590 best solution, best possible 560 (3516.30 seconds)
Cbc0010I After 50965 nodes, 18797 on tree, 1590 best solution, best possible 560 (3517.06 seconds)
Cbc0010I After 50980 nodes, 18804 on tree, 1590 best solution, best possible 560 (3517.80 seconds)
Cbc0010I After 50993 nodes, 18811 on tree, 1590 best solution, best possible 560 (3518.51 seconds)
Cbc0010I After 51006 nodes, 18817 on tree, 1590 best solution, best possible 560 (3519.30 seconds)
Cbc0010I After 51017 nodes, 18823 on tree, 1590 best solution, best possible 560 (3520.05 seconds)
Cbc0010I After 51030 nodes, 18828 on tree, 1590 best solution, best possible 560 (3520.80 seconds)
Cbc0010I After 51041 nodes, 18834 on tree, 1590 best solution, best possible 560 (3521.56 seconds)
Cbc0010I After 51055 nodes, 18841 on tree, 1590 best solution, best possible 560 (3522.30 seconds)
Cbc0010I After 51073 nodes, 18851 on tree, 1590 best solution, best possible 560 (3523.08 seconds)
Cbc0010I After 51089 nodes, 18859 on tree, 1590 best solution, best possible 560 (3523.84 seconds)
Cbc0010I After 51103 nodes, 18866 on tree, 1590 best solution, best possible 560 (3524.56 seconds)
Cbc0010I After 51114 nodes, 18871 on tree, 1590 best solution, best possible 560 (3525.27 seconds)
Cbc0010I After 51130 nodes, 18880 on tree, 1590 best solution, best possible 560 (3526.00 seconds)
Cbc0010I After 51144 nodes, 18887 on tree, 1590 best solution, best possible 560 (3526.72 seconds)
Cbc0010I After 51160 nodes, 18895 on tree, 1590 best solution, best possible 560 (3527.45 seconds)
Cbc0010I After 51173 nodes, 18901 on tree, 1590 best solution, best possible 560 (3528.16 seconds)
Cbc0010I After 51185 nodes, 18906 on tree, 1590 best solution, best possible 560 (3529.00 seconds)
Cbc0010I After 51200 nodes, 18913 on tree, 1590 best solution, best possible 560 (3529.74 seconds)
Cbc0010I After 51211 nodes, 18919 on tree, 1590 best solution, best possible 560 (3530.54 seconds)
Cbc0010I After 51223 nodes, 18924 on tree, 1590 best solution, best possible 560 (3531.25 seconds)
Cbc0010I After 51236 nodes, 18931 on tree, 1590 best solution, best possible 560 (3531.96 seconds)
Cbc0010I After 51251 nodes, 18939 on tree, 1590 best solution, best possible 560 (3532.70 seconds)
Cbc0010I After 51263 nodes, 18945 on tree, 1590 best solution, best possible 560 (3533.46 seconds)
Cbc0010I After 51276 nodes, 18952 on tree, 1590 best solution, best possible 560 (3534.20 seconds)
Cbc0010I After 51288 nodes, 18957 on tree, 1590 best solution, best possible 560 (3534.95 seconds)
Cbc0010I After 51301 nodes, 18963 on tree, 1590 best solution, best possible 560 (3535.68 seconds)
Cbc0010I After 51312 nodes, 18968 on tree, 1590 best solution, best possible 560 (3536.40 seconds)
Cbc0010I After 51326 nodes, 18975 on tree, 1590 best solution, best possible 560 (3537.11 seconds)
Cbc0010I After 51342 nodes, 18986 on tree, 1590 best solution, best possible 560 (3537.81 seconds)
Cbc0010I After 51356 nodes, 18992 on tree, 1590 best solution, best possible 560 (3538.52 seconds)
Cbc0010I After 51371 nodes, 18999 on tree, 1590 best solution, best possible 560 (3539.23 seconds)
Cbc0010I After 51390 nodes, 19008 on tree, 1590 best solution, best possible 560 (3539.97 seconds)
Cbc0010I After 51407 nodes, 19016 on tree, 1590 best solution, best possible 560 (3540.69 seconds)
Cbc0010I After 51421 nodes, 19022 on tree, 1590 best solution, best possible 560 (3541.40 seconds)
Cbc0010I After 51435 nodes, 19029 on tree, 1590 best solution, best possible 560 (3542.19 seconds)
Cbc0010I After 51451 nodes, 19038 on tree, 1590 best solution, best possible 560 (3542.92 seconds)
Cbc0010I After 51467 nodes, 19047 on tree, 1590 best solution, best possible 560 (3543.65 seconds)
Cbc0010I After 51481 nodes, 19052 on tree, 1590 best solution, best possible 560 (3544.38 seconds)
Cbc0010I After 51498 nodes, 19060 on tree, 1590 best solution, best possible 560 (3545.11 seconds)
Cbc0010I After 51509 nodes, 19066 on tree, 1590 best solution, best possible 560 (3545.82 seconds)
Cbc0010I After 51527 nodes, 19076 on tree, 1590 best solution, best possible 560 (3546.56 seconds)
Cbc0010I After 51540 nodes, 19081 on tree, 1590 best solution, best possible 560 (3547.30 seconds)
Cbc0010I After 51553 nodes, 19088 on tree, 1590 best solution, best possible 560 (3548.02 seconds)
Cbc0010I After 51566 nodes, 19095 on tree, 1590 best solution, best possible 560 (3548.75 seconds)
Cbc0010I After 51581 nodes, 19102 on tree, 1590 best solution, best possible 560 (3549.47 seconds)
Cbc0010I After 51598 nodes, 19110 on tree, 1590 best solution, best possible 560 (3550.18 seconds)
Cbc0010I After 51615 nodes, 19119 on tree, 1590 best solution, best possible 560 (3550.90 seconds)
Cbc0010I After 51632 nodes, 19128 on tree, 1590 best solution, best possible 560 (3551.61 seconds)
Cbc0010I After 51649 nodes, 19136 on tree, 1590 best solution, best possible 560 (3552.32 seconds)
Cbc0010I After 51664 nodes, 19143 on tree, 1590 best solution, best possible 560 (3553.05 seconds)
Cbc0010I After 51678 nodes, 19151 on tree, 1590 best solution, best possible 560 (3553.79 seconds)
Cbc0010I After 51690 nodes, 19157 on tree, 1590 best solution, best possible 560 (3554.50 seconds)
Cbc0010I After 51704 nodes, 19164 on tree, 1590 best solution, best possible 560 (3555.26 seconds)
Cbc0010I After 51717 nodes, 19170 on tree, 1590 best solution, best possible 560 (3555.98 seconds)
Cbc0010I After 51730 nodes, 19176 on tree, 1590 best solution, best possible 560 (3556.70 seconds)
Cbc0010I After 51744 nodes, 19184 on tree, 1590 best solution, best possible 560 (3557.46 seconds)
Cbc0010I After 51758 nodes, 19191 on tree, 1590 best solution, best possible 560 (3558.19 seconds)
Cbc0010I After 51766 nodes, 19195 on tree, 1590 best solution, best possible 560 (3558.92 seconds)
Cbc0010I After 51780 nodes, 19202 on tree, 1590 best solution, best possible 560 (3559.63 seconds)
Cbc0010I After 51793 nodes, 19209 on tree, 1590 best solution, best possible 560 (3560.34 seconds)
Cbc0010I After 51805 nodes, 19215 on tree, 1590 best solution, best possible 560 (3561.09 seconds)
Cbc0010I After 51817 nodes, 19220 on tree, 1590 best solution, best possible 560 (3561.82 seconds)
Cbc0010I After 51827 nodes, 19226 on tree, 1590 best solution, best possible 560 (3562.54 seconds)
Cbc0010I After 51841 nodes, 19232 on tree, 1590 best solution, best possible 560 (3563.25 seconds)
Cbc0010I After 51858 nodes, 19241 on tree, 1590 best solution, best possible 560 (3563.99 seconds)
Cbc0010I After 51873 nodes, 19249 on tree, 1590 best solution, best possible 560 (3564.74 seconds)
Cbc0010I After 51889 nodes, 19256 on tree, 1590 best solution, best possible 560 (3565.49 seconds)
Cbc0010I After 51901 nodes, 19262 on tree, 1590 best solution, best possible 560 (3566.22 seconds)
Cbc0010I After 51916 nodes, 19270 on tree, 1590 best solution, best possible 560 (3566.92 seconds)
Cbc0010I After 51934 nodes, 19278 on tree, 1590 best solution, best possible 560 (3567.71 seconds)
Cbc0010I After 51949 nodes, 19287 on tree, 1590 best solution, best possible 560 (3568.47 seconds)
Cbc0010I After 51963 nodes, 19293 on tree, 1590 best solution, best possible 560 (3569.20 seconds)
Cbc0010I After 51976 nodes, 19301 on tree, 1590 best solution, best possible 560 (3569.93 seconds)
Cbc0010I After 51989 nodes, 19307 on tree, 1590 best solution, best possible 560 (3570.65 seconds)
Cbc0010I After 52002 nodes, 19314 on tree, 1590 best solution, best possible 560 (3571.37 seconds)
Cbc0010I After 52033 nodes, 19325 on tree, 1590 best solution, best possible 560 (3572.07 seconds)
Cbc0010I After 52057 nodes, 19318 on tree, 1590 best solution, best possible 560 (3572.78 seconds)
Cbc0010I After 52078 nodes, 19310 on tree, 1590 best solution, best possible 560 (3573.50 seconds)
Cbc0010I After 52099 nodes, 19301 on tree, 1590 best solution, best possible 560 (3574.21 seconds)
Cbc0010I After 52120 nodes, 19294 on tree, 1590 best solution, best possible 560 (3574.94 seconds)
Cbc0010I After 52141 nodes, 19290 on tree, 1590 best solution, best possible 560 (3575.66 seconds)
Cbc0010I After 52163 nodes, 19286 on tree, 1590 best solution, best possible 560 (3576.37 seconds)
Cbc0010I After 52189 nodes, 19283 on tree, 1590 best solution, best possible 560 (3577.10 seconds)
Cbc0010I After 52207 nodes, 19291 on tree, 1590 best solution, best possible 560 (3577.82 seconds)
Cbc0010I After 52234 nodes, 19318 on tree, 1590 best solution, best possible 560 (3578.54 seconds)
Cbc0010I After 52275 nodes, 19315 on tree, 1590 best solution, best possible 560 (3579.27 seconds)
Cbc0010I After 52307 nodes, 19317 on tree, 1590 best solution, best possible 560 (3579.97 seconds)
Cbc0010I After 52333 nodes, 19314 on tree, 1590 best solution, best possible 560 (3580.73 seconds)
Cbc0010I After 52356 nodes, 19326 on tree, 1590 best solution, best possible 560 (3581.46 seconds)
Cbc0010I After 52385 nodes, 19339 on tree, 1590 best solution, best possible 560 (3582.16 seconds)
Cbc0010I After 52409 nodes, 19343 on tree, 1590 best solution, best possible 560 (3582.87 seconds)
Cbc0010I After 52440 nodes, 19340 on tree, 1590 best solution, best possible 560 (3583.63 seconds)
Cbc0010I After 52470 nodes, 19346 on tree, 1590 best solution, best possible 560 (3584.33 seconds)
Cbc0010I After 52493 nodes, 19348 on tree, 1590 best solution, best possible 560 (3585.05 seconds)
Cbc0010I After 52517 nodes, 19330 on tree, 1590 best solution, best possible 560 (3585.79 seconds)
Cbc0010I After 52539 nodes, 19308 on tree, 1590 best solution, best possible 560 (3586.51 seconds)
Cbc0010I After 52556 nodes, 19291 on tree, 1590 best solution, best possible 560 (3587.27 seconds)
Cbc0010I After 52574 nodes, 19278 on tree, 1590 best solution, best possible 560 (3588.05 seconds)
Cbc0010I After 52592 nodes, 19278 on tree, 1590 best solution, best possible 560 (3588.80 seconds)
Cbc0010I After 52611 nodes, 19275 on tree, 1590 best solution, best possible 560 (3589.57 seconds)
Cbc0010I After 52638 nodes, 19276 on tree, 1590 best solution, best possible 560 (3590.28 seconds)
Cbc0010I After 52659 nodes, 19275 on tree, 1590 best solution, best possible 560 (3591.00 seconds)
Cbc0010I After 52697 nodes, 19273 on tree, 1590 best solution, best possible 560 (3591.72 seconds)
Cbc0010I After 52734 nodes, 19282 on tree, 1590 best solution, best possible 560 (3592.43 seconds)
Cbc0010I After 52776 nodes, 19278 on tree, 1590 best solution, best possible 560 (3593.15 seconds)
Cbc0010I After 52819 nodes, 19283 on tree, 1590 best solution, best possible 560 (3593.87 seconds)
Cbc0010I After 52863 nodes, 19281 on tree, 1590 best solution, best possible 560 (3594.60 seconds)
Cbc0010I After 52908 nodes, 19278 on tree, 1590 best solution, best possible 560 (3595.33 seconds)
Cbc0010I After 52947 nodes, 19280 on tree, 1590 best solution, best possible 560 (3596.04 seconds)
Cbc0010I After 52984 nodes, 19283 on tree, 1590 best solution, best possible 560 (3596.74 seconds)
Cbc0010I After 53003 nodes, 19298 on tree, 1590 best solution, best possible 560 (3597.71 seconds)
Cbc0010I After 53006 nodes, 19301 on tree, 1590 best solution, best possible 560 (3598.45 seconds)
Cbc0010I After 53010 nodes, 19305 on tree, 1590 best solution, best possible 560 (3599.22 seconds)
Cbc0010I After 53016 nodes, 19311 on tree, 1590 best solution, best possible 560 (3600.01 seconds)
Cbc0010I After 53020 nodes, 19315 on tree, 1590 best solution, best possible 560 (3600.72 seconds)
Cbc0010I After 53026 nodes, 19321 on tree, 1590 best solution, best possible 560 (3601.54 seconds)
Cbc0010I After 53037 nodes, 19332 on tree, 1590 best solution, best possible 560 (3602.26 seconds)
Cbc0010I After 53049 nodes, 19344 on tree, 1590 best solution, best possible 560 (3603.02 seconds)
Cbc0010I After 53057 nodes, 19352 on tree, 1590 best solution, best possible 560 (3603.73 seconds)
Cbc0010I After 53064 nodes, 19359 on tree, 1590 best solution, best possible 560 (3604.45 seconds)
Cbc0010I After 53079 nodes, 19374 on tree, 1590 best solution, best possible 560 (3605.15 seconds)
Cbc0010I After 53094 nodes, 19389 on tree, 1590 best solution, best possible 560 (3605.86 seconds)
Cbc0010I After 53105 nodes, 19400 on tree, 1590 best solution, best possible 560 (3606.57 seconds)
Cbc0010I After 53124 nodes, 19417 on tree, 1590 best solution, best possible 560 (3607.28 seconds)
Cbc0010I After 53146 nodes, 19423 on tree, 1590 best solution, best possible 560 (3608.02 seconds)
Cbc0010I After 53163 nodes, 19436 on tree, 1590 best solution, best possible 560 (3608.74 seconds)
Cbc0010I After 53178 nodes, 19443 on tree, 1590 best solution, best possible 560 (3609.45 seconds)
Cbc0010I After 53197 nodes, 19462 on tree, 1590 best solution, best possible 560 (3610.16 seconds)
Cbc0010I After 53216 nodes, 19469 on tree, 1590 best solution, best possible 560 (3610.88 seconds)
Cbc0010I After 53232 nodes, 19458 on tree, 1590 best solution, best possible 560 (3611.59 seconds)
Cbc0010I After 53242 nodes, 19452 on tree, 1590 best solution, best possible 560 (3612.33 seconds)
Cbc0010I After 53254 nodes, 19451 on tree, 1590 best solution, best possible 560 (3613.04 seconds)
Cbc0010I After 53267 nodes, 19455 on tree, 1590 best solution, best possible 560 (3613.77 seconds)
Cbc0010I After 53282 nodes, 19454 on tree, 1590 best solution, best possible 560 (3614.47 seconds)
Cbc0010I After 53295 nodes, 19453 on tree, 1590 best solution, best possible 560 (3615.28 seconds)
Cbc0010I After 53310 nodes, 19456 on tree, 1590 best solution, best possible 560 (3615.99 seconds)
Cbc0010I After 53326 nodes, 19455 on tree, 1590 best solution, best possible 560 (3616.69 seconds)
Cbc0010I After 53340 nodes, 19454 on tree, 1590 best solution, best possible 560 (3617.41 seconds)
Cbc0010I After 53356 nodes, 19454 on tree, 1590 best solution, best possible 560 (3618.14 seconds)
Cbc0010I After 53372 nodes, 19454 on tree, 1590 best solution, best possible 560 (3618.86 seconds)
Cbc0010I After 53387 nodes, 19457 on tree, 1590 best solution, best possible 560 (3619.57 seconds)
Cbc0010I After 53402 nodes, 19457 on tree, 1590 best solution, best possible 560 (3620.28 seconds)
Cbc0010I After 53417 nodes, 19457 on tree, 1590 best solution, best possible 560 (3621.03 seconds)
Cbc0010I After 53433 nodes, 19455 on tree, 1590 best solution, best possible 560 (3621.77 seconds)
Cbc0010I After 53451 nodes, 19453 on tree, 1590 best solution, best possible 560 (3622.49 seconds)
Cbc0010I After 53466 nodes, 19452 on tree, 1590 best solution, best possible 560 (3623.20 seconds)
Cbc0010I After 53482 nodes, 19455 on tree, 1590 best solution, best possible 560 (3623.93 seconds)
Cbc0010I After 53501 nodes, 19457 on tree, 1590 best solution, best possible 560 (3624.65 seconds)
Cbc0010I After 53519 nodes, 19458 on tree, 1590 best solution, best possible 560 (3625.36 seconds)
Cbc0010I After 53537 nodes, 19458 on tree, 1590 best solution, best possible 560 (3626.07 seconds)
Cbc0010I After 53555 nodes, 19456 on tree, 1590 best solution, best possible 560 (3626.79 seconds)
Cbc0010I After 53569 nodes, 19452 on tree, 1590 best solution, best possible 560 (3627.51 seconds)
Cbc0010I After 53586 nodes, 19460 on tree, 1590 best solution, best possible 560 (3628.23 seconds)
Cbc0010I After 53603 nodes, 19457 on tree, 1590 best solution, best possible 560 (3628.95 seconds)
Cbc0010I After 53621 nodes, 19459 on tree, 1590 best solution, best possible 560 (3629.66 seconds)
Cbc0010I After 53638 nodes, 19456 on tree, 1590 best solution, best possible 560 (3630.37 seconds)
Cbc0010I After 53651 nodes, 19453 on tree, 1590 best solution, best possible 560 (3631.11 seconds)
Cbc0010I After 53667 nodes, 19454 on tree, 1590 best solution, best possible 560 (3631.88 seconds)
Cbc0010I After 53683 nodes, 19458 on tree, 1590 best solution, best possible 560 (3632.59 seconds)
Cbc0010I After 53694 nodes, 19457 on tree, 1590 best solution, best possible 560 (3633.31 seconds)
Cbc0010I After 53706 nodes, 19456 on tree, 1590 best solution, best possible 560 (3634.04 seconds)
Cbc0010I After 53720 nodes, 19458 on tree, 1590 best solution, best possible 560 (3634.75 seconds)
Cbc0010I After 53732 nodes, 19455 on tree, 1590 best solution, best possible 560 (3635.48 seconds)
Cbc0010I After 53744 nodes, 19456 on tree, 1590 best solution, best possible 560 (3636.19 seconds)
Cbc0010I After 53755 nodes, 19453 on tree, 1590 best solution, best possible 560 (3636.91 seconds)
Cbc0010I After 53770 nodes, 19458 on tree, 1590 best solution, best possible 560 (3637.63 seconds)
Cbc0010I After 53781 nodes, 19455 on tree, 1590 best solution, best possible 560 (3638.38 seconds)
Cbc0010I After 53793 nodes, 19457 on tree, 1590 best solution, best possible 560 (3639.09 seconds)
Cbc0010I After 53806 nodes, 19456 on tree, 1590 best solution, best possible 560 (3639.84 seconds)
Cbc0010I After 53819 nodes, 19457 on tree, 1590 best solution, best possible 560 (3640.60 seconds)
Cbc0010I After 53832 nodes, 19455 on tree, 1590 best solution, best possible 560 (3641.32 seconds)
Cbc0010I After 53844 nodes, 19456 on tree, 1590 best solution, best possible 560 (3642.04 seconds)
Cbc0010I After 53855 nodes, 19454 on tree, 1590 best solution, best possible 560 (3642.76 seconds)
Cbc0010I After 53865 nodes, 19455 on tree, 1590 best solution, best possible 560 (3643.48 seconds)
Cbc0010I After 53880 nodes, 19457 on tree, 1590 best solution, best possible 560 (3644.18 seconds)
Cbc0010I After 53896 nodes, 19457 on tree, 1590 best solution, best possible 560 (3644.90 seconds)
Cbc0010I After 53914 nodes, 19455 on tree, 1590 best solution, best possible 560 (3645.61 seconds)
Cbc0010I After 53929 nodes, 19457 on tree, 1590 best solution, best possible 560 (3646.31 seconds)
Cbc0010I After 53944 nodes, 19456 on tree, 1590 best solution, best possible 560 (3647.12 seconds)
Cbc0010I After 53961 nodes, 19462 on tree, 1590 best solution, best possible 560 (3647.86 seconds)
Cbc0010I After 53984 nodes, 19463 on tree, 1590 best solution, best possible 560 (3648.57 seconds)
Cbc0010I After 54008 nodes, 19462 on tree, 1590 best solution, best possible 560 (3649.32 seconds)
Cbc0010I After 54030 nodes, 19461 on tree, 1590 best solution, best possible 560 (3650.03 seconds)
Cbc0010I After 54049 nodes, 19459 on tree, 1590 best solution, best possible 560 (3650.81 seconds)
Cbc0010I After 54065 nodes, 19457 on tree, 1590 best solution, best possible 560 (3651.52 seconds)
Cbc0010I After 54079 nodes, 19455 on tree, 1590 best solution, best possible 560 (3652.26 seconds)
Cbc0010I After 54093 nodes, 19455 on tree, 1590 best solution, best possible 560 (3653.01 seconds)
Cbc0010I After 54107 nodes, 19455 on tree, 1590 best solution, best possible 560 (3653.78 seconds)
Cbc0010I After 54122 nodes, 19458 on tree, 1590 best solution, best possible 560 (3654.51 seconds)
Cbc0010I After 54139 nodes, 19457 on tree, 1590 best solution, best possible 560 (3655.26 seconds)
Cbc0010I After 54155 nodes, 19458 on tree, 1590 best solution, best possible 560 (3655.99 seconds)
Cbc0010I After 54173 nodes, 19458 on tree, 1590 best solution, best possible 560 (3656.72 seconds)
Cbc0010I After 54184 nodes, 19456 on tree, 1590 best solution, best possible 560 (3657.47 seconds)
Cbc0010I After 54197 nodes, 19455 on tree, 1590 best solution, best possible 560 (3658.23 seconds)
Cbc0010I After 54211 nodes, 19456 on tree, 1590 best solution, best possible 560 (3658.96 seconds)
Cbc0010I After 54231 nodes, 19457 on tree, 1590 best solution, best possible 560 (3659.69 seconds)
Cbc0010I After 54253 nodes, 19455 on tree, 1590 best solution, best possible 560 (3660.44 seconds)
Cbc0010I After 54273 nodes, 19457 on tree, 1590 best solution, best possible 560 (3661.17 seconds)
Cbc0010I After 54295 nodes, 19459 on tree, 1590 best solution, best possible 560 (3661.88 seconds)
Cbc0010I After 54311 nodes, 19457 on tree, 1590 best solution, best possible 560 (3662.65 seconds)
Cbc0010I After 54327 nodes, 19456 on tree, 1590 best solution, best possible 560 (3663.37 seconds)
Cbc0010I After 54342 nodes, 19458 on tree, 1590 best solution, best possible 560 (3664.14 seconds)
Cbc0010I After 54357 nodes, 19457 on tree, 1590 best solution, best possible 560 (3664.87 seconds)
Cbc0010I After 54371 nodes, 19456 on tree, 1590 best solution, best possible 560 (3665.60 seconds)
Cbc0010I After 54389 nodes, 19457 on tree, 1590 best solution, best possible 560 (3666.30 seconds)
Cbc0010I After 54407 nodes, 19459 on tree, 1590 best solution, best possible 560 (3667.02 seconds)
Cbc0010I After 54421 nodes, 19455 on tree, 1590 best solution, best possible 560 (3667.74 seconds)
Cbc0010I After 54438 nodes, 19458 on tree, 1590 best solution, best possible 560 (3668.51 seconds)
Cbc0010I After 54453 nodes, 19457 on tree, 1590 best solution, best possible 560 (3669.26 seconds)
